world_rank,university_name,year
1,Harvard University,2011
2,California Institute of Technology,2011
3,Massachusetts Institute of Technology,2011
4,Stanford University,2011
5,Princeton University,2011
6,University of Cambridge,2011
6,University of Oxford,2011
8,"University of California, Berkeley",2011
9,Imperial College London,2011
10,Yale University,2011
11,"University of California, Los Angeles",2011
12,University of Chicago,2011
13,Johns Hopkins University,2011
14,Cornell University,2011
15,ETH Zurich – Swiss Federal Institute of Technology Zurich,2011
15,University of Michigan,2011
17,University of Toronto,2011
18,Columbia University,2011
19,University of Pennsylvania,2011
20,Carnegie Mellon University,2011
21,University of Hong Kong,2011
22,University College London,2011
23,University of Washington,2011
24,Duke University,2011
25,Northwestern University,2011
26,University of Tokyo,2011
27,Georgia Institute of Technology,2011
28,Pohang University of Science and Technology,2011
29,"University of California, Santa Barbara",2011
30,University of British Columbia,2011
30,University of North Carolina at Chapel Hill,2011
32,"University of California, San Diego",2011
33,University of Illinois at Urbana-Champaign,2011
34,National University of Singapore,2011
35,McGill University,2011
36,University of Melbourne,2011
37,Peking University,2011
38,Washington University in St Louis,2011
39,École Polytechnique,2011
40,University of Edinburgh,2011
41,Hong Kong University of Science and Technology,2011
42,École Normale Supérieure,2011
43,Australian National University,2011
43,Karolinska Institute,2011
43,University of Göttingen,2011
43,University of Wisconsin,2011
47,Rice University,2011
48,École Polytechnique Fédérale de Lausanne,2011
49,"University of California, Irvine",2011
49,University of Science and Technology of China,2011
51,Vanderbilt University,2011
52,University of Minnesota,2011
53,Tufts University,2011
54,"University of California, Davis",2011
55,Brown University,2011
56,University of Massachusetts,2011
57,Kyoto University,2011
58,Tsinghua University,2011
59,Boston University,2011
60,New York University,2011
61,Emory University,2011
61,LMU Munich,2011
63,University of Notre Dame,2011
64,University of Pittsburgh,2011
65,Case Western Reserve University,2011
66,Ohio State University,2011
67,University of Colorado Boulder,2011
68,University of Bristol,2011
68,"University of California, Santa Cruz",2011
68,Yeshiva University,2011
71,University of Sydney,2011
72,University of Virginia,2011
73,University of Adelaide,2011
73,University of Southern California,2011
75,William & Mary,2011
76,Trinity College Dublin,2011
77,King’s College London,2011
78,Stony Brook University,2011
79,Korea Advanced Institute of Science and Technology (KAIST),2011
79,University of Sussex,2011
81,The University of Queensland,2011
81,University of York,2011
83,Heidelberg University,2011
83,University of Utah,2011
85,Durham University,2011
86,London School of Economics and Political Science,2011
87,University of Manchester,2011
88,"Royal Holloway, University of London",2011
89,Lund University,2011
90,University of Southampton,2011
90,University of Zurich,2011
90,Wake Forest University,2011
93,McMaster University,2011
94,University College Dublin,2011
95,George Washington University,2011
95,University of Arizona,2011
95,University of Basel,2011
98,"University of Maryland, College Park",2011
99,Dartmouth College,2011
100,École Normale Supérieure de Lyon,2011
101,Technical University of Munich,2011
102,University of Helsinki,2011
103,University of St Andrews,2011
104,Rensselaer Polytechnic Institute,2011
105,"Rutgers, the State University of New Jersey",2011
106,Purdue University,2011
107,National Tsing Hua University,2011
107,University of Cape Town,2011
109,Pennsylvania State University,2011
109,Seoul National University,2011
111,Hong Kong Baptist University,2011
112,Bilkent University,2011
112,Tokyo Institute of Technology,2011
114,Eindhoven University of Technology,2011
115,National Taiwan University,2011
115,University of Hawai’i at Mānoa,2011
117,"University of California, Riverside",2011
118,University of Geneva,2011
119,KU Leuven,2011
120,Nanjing University,2011
120,Queen Mary University of London,2011
122,Michigan State University,2011
122,Technical University of Denmark,2011
124,Ghent University,2011
124,Lancaster University,2011
124,Leiden University,2011
127,University of Alberta,2011
128,University of Glasgow,2011
129,Stockholm University,2011
130,Osaka University,2011
130,University of Victoria,2011
132,Tohoku University,2011
132,University of Freiburg,2011
132,University of Iowa,2011
135,University of Bergen,2011
136,University of Lausanne,2011
137,University of Sheffield,2011
138,University of Montreal,2011
139,VU University Amsterdam,2011
140,Pierre and Marie Curie University,2011
140,University of Dundee,2011
142,University of Barcelona,2011
143,Utrecht University,2011
144,Wageningen University and Research Center,2011
145,University of Auckland,2011
145,University of Birmingham,2011
147,Alexandria University,2011
147,Uppsala University,2011
149,Hong Kong Polytechnic University,2011
149,University of Aberdeen,2011
151,Delft University of Technology,2011
152,"Birkbeck, University of London",2011
152,Newcastle University,2011
152,University of New South Wales,2011
155,Pompeu Fabra University,2011
156,Indiana University,2011
156,Iowa State University,2011
158,Georgia Health Sciences University,2011
159,Erasmus University Rotterdam,2011
159,University of Delaware,2011
161,Arizona State University,2011
161,Boston College,2011
163,National Sun Yat-Sen University,2011
164,Georgetown University,2011
165,University of Amsterdam,2011
165,University of Liverpool,2011
167,Aarhus University,2011
168,University of Leeds,2011
168,University of Würzburg,2011
170,University of Groningen,2011
171,Sun Yat-sen University,2011
172,Goethe University Frankfurt,2011
173,Bielefeld University,2011
174,Nanyang Technological University,2011
174,University of East Anglia,2011
174,University of Nottingham,2011
177,University of Copenhagen,2011
178,Humboldt University of Berlin,2011
178,Monash University,2011
178,University of Bonn,2011
181,National Chiao Tung University,2011
182,RWTH Aachen University,2011
183,Middle East Technical University,2011
184,University of Exeter,2011
185,University of Twente,2011
186,University of Konstanz,2011
187,Karlsruhe Institute of Technology,2011
187,University of Innsbruck,2011
189,University of Tübingen,2011
190,Drexel University,2011
190,University of Cincinnati,2011
190,Yonsei University,2011
193,Dalhousie University,2011
193,KTH Royal Institute of Technology,2011
195,University of Vienna,2011
196,Kent State University,2011
197,University of Illinois at Chicago,2011
197,Zhejiang University,2011
199,Simon Fraser University,2011
199,Swedish University of Agricultural Sciences,2011
1,California Institute of Technology,2012
2,Harvard University,2012
2,Stanford University,2012
4,University of Oxford,2012
5,Princeton University,2012
6,University of Cambridge,2012
7,Massachusetts Institute of Technology,2012
8,Imperial College London,2012
9,University of Chicago,2012
10,"University of California, Berkeley",2012
11,Yale University,2012
12,Columbia University,2012
13,"University of California, Los Angeles",2012
14,Johns Hopkins University,2012
15,ETH Zurich – Swiss Federal Institute of Technology Zurich,2012
16,University of Pennsylvania,2012
17,University College London,2012
18,University of Michigan,2012
19,University of Toronto,2012
20,Cornell University,2012
21,Carnegie Mellon University,2012
22,Duke University,2012
22,University of British Columbia,2012
24,Georgia Institute of Technology,2012
25,University of Washington,2012
26,Northwestern University,2012
27,University of Wisconsin-Madison,2012
28,McGill University,2012
29,University of Texas at Austin,2012
30,University of Tokyo,2012
31,University of Illinois at Urbana-Champaign,2012
32,Karolinska Institute,2012
33,"University of California, San Diego",2012
34,University of Hong Kong,2012
35,"University of California, Santa Barbara",2012
36,University of Edinburgh,2012
37,University of Melbourne,2012
38,Australian National University,2012
38,"University of California, Davis",2012
40,National University of Singapore,2012
41,Washington University in St Louis,2012
42,University of Minnesota,2012
43,University of North Carolina at Chapel Hill,2012
44,New York University,2012
45,LMU Munich,2012
46,École Polytechnique Fédérale de Lausanne,2012
47,London School of Economics and Political Science,2012
48,University of Manchester,2012
49,Brown University,2012
49,Peking University,2012
51,Pennsylvania State University,2012
52,Kyoto University,2012
53,Pohang University of Science and Technology,2012
54,Boston University,2012
55,University of Southern California,2012
56,King’s College London,2012
57,Ohio State University,2012
58,University of Sydney,2012
59,University of Pittsburgh,2012
59,École Normale Supérieure,2012
61,University of Zurich,2012
62,Hong Kong University of Science and Technology,2012
63,École Polytechnique,2012
64,University of Massachusetts,2012
65,McMaster University,2012
66,University of Bristol,2012
67,KU Leuven,2012
68,Utrecht University,2012
69,University of Göttingen,2012
70,Vanderbilt University,2012
71,Tsinghua University,2012
72,Rice University,2012
73,Heidelberg University,2012
74,The University of Queensland,2012
75,Emory University,2012
75,Wageningen University and Research Center,2012
77,Tufts University,2012
77,University of Colorado Boulder,2012
79,Leiden University,2012
80,Lund University,2012
81,"Rutgers, the State University of New Jersey",2012
81,University of Rochester,2012
83,Durham University,2012
84,Pierre and Marie Curie University,2012
85,University of St Andrews,2012
86,"University of California, Irvine",2012
87,Uppsala University,2012
88,Technical University of Munich,2012
89,University of Notre Dame,2012
90,Dartmouth College,2012
91,University of Helsinki,2012
92,University of Amsterdam,2012
93,Case Western Reserve University,2012
94,Korea Advanced Institute of Science and Technology (KAIST),2012
94,"University of Maryland, College Park",2012
96,Michigan State University,2012
97,University of Arizona,2012
98,Purdue University,2012
99,University of Sussex,2012
100,University of Alberta,2012
101,University of Sheffield,2012
102,University of Glasgow,2012
103,University of Cape Town,2012
104,Delft University of Technology,2012
104,University of Montreal,2012
106,Ghent University,2012
107,"Royal Holloway, University of London",2012
108,Tokyo Institute of Technology,2012
109,Humboldt University of Berlin,2012
110,"University of California, Santa Cruz",2012
111,University of Basel,2012
112,University of Bern,2012
113,University of Utah,2012
114,Stony Brook University,2012
115,Eindhoven University of Technology,2012
116,University of Lausanne,2012
117,Monash University,2012
117,Trinity College Dublin,2012
119,Osaka University,2012
120,Tohoku University,2012
121,Hebrew University of Jerusalem,2012
121,University of York,2012
123,Indiana University,2012
124,Seoul National University,2012
125,Aarhus University,2012
125,University of Florida,2012
127,Arizona State University,2012
127,Queen Mary University of London,2012
127,University of Southampton,2012
130,University of Geneva,2012
131,Lancaster University,2012
131,Stockholm University,2012
133,University of Leeds,2012
134,University of Groningen,2012
135,George Washington University,2012
135,University of Copenhagen,2012
135,University of Virginia,2012
138,Georgetown University,2012
139,University of Vienna,2012
140,University of Nottingham,2012
141,University of Iowa,2012
141,École Normale Supérieure de Lyon,2012
143,"University of California, Riverside",2012
144,Rensselaer Polytechnic Institute,2012
145,University of East Anglia,2012
146,Newcastle University,2012
146,William & Mary,2012
148,University of Birmingham,2012
149,"Birkbeck, University of London",2012
150,Brandeis University,2012
151,Chinese University of Hong Kong,2012
151,Free University of Berlin,2012
151,University of Aberdeen,2012
154,National Taiwan University,2012
154,Yeshiva University,2012
156,University of Exeter,2012
157,Erasmus University Rotterdam,2012
157,University of Warwick,2012
159,Radboud University Nijmegen,2012
159,University College Dublin,2012
159,VU University Amsterdam,2012
162,Medical University of South Carolina,2012
162,Wake Forest University,2012
164,Texas A&M University,2012
164,University of Reading,2012
166,Tel Aviv University,2012
167,University of Illinois at Chicago,2012
168,RWTH Aachen University,2012
169,Nanyang Technological University,2012
169,Paris Diderot University – Paris 7,2012
169,Université Catholique de Louvain,2012
172,University of Miami,2012
173,Queen’s University,2012
173,University of Auckland,2012
173,University of New South Wales,2012
176,University of Dundee,2012
177,University of Victoria,2012
178,Technical University of Denmark,2012
178,University of São Paulo,2012
180,University of Delaware,2012
181,Goethe University Frankfurt,2012
181,University of Liverpool,2012
181,University of Oslo,2012
184,Iowa State University,2012
185,University of Ottawa,2012
186,Pompeu Fabra University,2012
187,KTH Royal Institute of Technology,2012
187,University of Tübingen,2012
189,University of Freiburg,2012
189,University of Western Australia,2012
191,University of Bergen,2012
192,University of Science and Technology of China,2012
193,City University of Hong Kong,2012
194,University of Konstanz,2012
195,Boston College,2012
196,Karlsruhe Institute of Technology,2012
197,Georgia Health Sciences University,2012
197,Maastricht University,2012
197,University of Leicester,2012
200,University of Twente,2012
1,California Institute of Technology,2013
2,Stanford University,2013
2,University of Oxford,2013
4,Harvard University,2013
5,Massachusetts Institute of Technology,2013
6,Princeton University,2013
7,University of Cambridge,2013
8,Imperial College London,2013
9,"University of California, Berkeley",2013
10,University of Chicago,2013
11,Yale University,2013
12,ETH Zurich – Swiss Federal Institute of Technology Zurich,2013
13,"University of California, Los Angeles",2013
14,Columbia University,2013
15,University of Pennsylvania,2013
16,Johns Hopkins University,2013
17,University College London,2013
18,Cornell University,2013
19,Northwestern University,2013
20,University of Michigan,2013
21,University of Toronto,2013
22,Carnegie Mellon University,2013
23,Duke University,2013
24,University of Washington,2013
25,Georgia Institute of Technology,2013
25,University of Texas at Austin,2013
27,University of Tokyo,2013
28,University of Melbourne,2013
29,National University of Singapore,2013
30,University of British Columbia,2013
31,University of Wisconsin-Madison,2013
32,University of Edinburgh,2013
33,University of Illinois at Urbana-Champaign,2013
34,McGill University,2013
35,"University of California, Santa Barbara",2013
35,University of Hong Kong,2013
37,Australian National University,2013
38,"University of California, San Diego",2013
39,London School of Economics and Political Science,2013
40,École Polytechnique Fédérale de Lausanne,2013
41,New York University,2013
42,Karolinska Institute,2013
42,University of North Carolina at Chapel Hill,2013
44,"University of California, Davis",2013
44,Washington University in St Louis,2013
46,Peking University,2013
47,University of Minnesota,2013
48,LMU Munich,2013
49,University of Manchester,2013
50,Pohang University of Science and Technology,2013
51,Brown University,2013
52,Tsinghua University,2013
53,Ohio State University,2013
54,Boston University,2013
54,Kyoto University,2013
56,University of Southern California,2013
57,King’s College London,2013
58,KU Leuven,2013
59,Seoul National University,2013
59,École Normale Supérieure,2013
61,Pennsylvania State University,2013
62,University of Sydney,2013
62,École Polytechnique,2013
64,Leiden University,2013
65,Hong Kong University of Science and Technology,2013
65,The University of Queensland,2013
67,Utrecht University,2013
68,Korea Advanced Institute of Science and Technology (KAIST),2013
69,Purdue University,2013
70,University of Göttingen,2013
70,Wageningen University and Research Center,2013
72,Erasmus University Rotterdam,2013
72,University of Massachusetts,2013
74,University of Bristol,2013
75,Rice University,2013
76,University of Pittsburgh,2013
77,Delft University of Technology,2013
78,Heidelberg University,2013
79,Emory University,2013
80,Durham University,2013
81,Pierre and Marie Curie University,2013
82,Lund University,2013
83,University of Amsterdam,2013
84,University of Montreal,2013
85,University of New South Wales,2013
86,Nanyang Technological University,2013
87,Tufts University,2013
88,McMaster University,2013
89,University of Groningen,2013
89,University of Zurich,2013
91,University of Colorado Boulder,2013
92,Paris-Sud University,2013
93,Ghent University,2013
94,Michigan State University,2013
94,University of Notre Dame,2013
96,"University of California, Irvine",2013
97,"University of Maryland, College Park",2013
98,University of Arizona,2013
99,Humboldt University of Berlin,2013
99,Monash University,2013
99,"Rutgers, the State University of New Jersey",2013
102,University of Rochester,2013
103,University of York,2013
104,Case Western Reserve University,2013
105,Technical University of Munich,2013
106,Uppsala University,2013
106,Vanderbilt University,2013
108,University of St Andrews,2013
109,University of Helsinki,2013
110,Trinity College Dublin,2013
110,University of Sheffield,2013
110,University of Sussex,2013
113,University of Cape Town,2013
114,Eindhoven University of Technology,2013
115,Maastricht University,2013
116,Aarhus University,2013
117,Stockholm University,2013
118,University of Virginia,2013
119,"Royal Holloway, University of London",2013
120,University of Nottingham,2013
121,University of Alberta,2013
122,"University of California, Santa Cruz",2013
122,University of Florida,2013
124,Chinese University of Hong Kong,2013
124,Dartmouth College,2013
124,University of Warwick,2013
127,Radboud University Nijmegen,2013
128,Free University of Berlin,2013
128,Tokyo Institute of Technology,2013
130,University of Copenhagen,2013
130,University of Lausanne,2013
130,University of Southampton,2013
133,University of Geneva,2013
134,Indiana University,2013
134,National Taiwan University,2013
134,University of Utah,2013
137,Hebrew University of Jerusalem,2013
137,Tohoku University,2013
139,University of Glasgow,2013
140,KTH Royal Institute of Technology,2013
140,VU University Amsterdam,2013
142,University of Basel,2013
142,University of Leeds,2013
144,University of Freiburg,2013
145,Lancaster University,2013
145,Queen Mary University of London,2013
147,Osaka University,2013
148,Arizona State University,2013
149,Technical University of Denmark,2013
150,Boston College,2013
151,Karlsruhe Institute of Technology,2013
151,University of Bern,2013
153,University of Exeter,2013
154,RWTH Aachen University,2013
154,"University of California, Riverside",2013
156,Texas A&M University,2013
156,Yeshiva University,2013
158,Tel Aviv University,2013
158,University of Birmingham,2013
158,University of São Paulo,2013
161,University of Auckland,2013
162,Stony Brook University,2013
162,University of Vienna,2013
164,Université Catholique de Louvain,2013
165,University of Delaware,2013
166,Paris Diderot University – Paris 7,2013
167,University of Texas at Dallas,2013
168,George Washington University,2013
169,University of Iowa,2013
170,École Normale Supérieure de Lyon,2013
171,University of Bonn,2013
171,University of Liverpool,2013
171,University of Ottawa,2013
174,Georgetown University,2013
174,Rensselaer Polytechnic Institute,2013
176,University of Aberdeen,2013
176,University of Adelaide,2013
176,University of East Anglia,2013
176,University of Reading,2013
180,Joseph Fourier University,2013
180,Newcastle University,2013
182,City University of Hong Kong,2013
183,Yonsei University,2013
184,Colorado School of Mines,2013
184,University of Illinois at Chicago,2013
184,William & Mary,2013
187,University College Dublin,2013
187,University of Twente,2013
189,Medical University of South Carolina,2013
190,University of Western Australia,2013
190,Wake Forest University,2013
192,University of Antwerp,2013
193,Iowa State University,2013
193,Technion Israel Institute of Technology,2013
193,University of Miami,2013
196,University of Leicester,2013
196,University of Victoria,2013
198,University at Buffalo,2013
