month,min,max,mean
1997-01,10.0,26.0,17.4
1997-02,11.0,26.0,16.8
1997-03,14.0,28.0,20.6
1997-04,19.0,29.0,23.3
1997-05,21.0,32.0,26.5
1997-06,23.0,32.0,27.9
1997-07,23.0,35.0,28.8
1997-08,25.0,37.0,29.3
1997-09,20.0,33.0,27.2
1997-10,19.0,32.0,26.7
1997-11,16.0,31.0,23.8
1997-12,12.0,27.0,19.4
1998-01,9.0,27.0,17.3
1998-02,9.0,27.0,17.8
1998-03,12.0,29.0,19.7
1998-04,19.0,33.0,25.3
1998-05,21.0,33.0,27.4
1998-06,22.0,33.0,28.8
1998-07,24.0,34.0,29.8
1998-08,25.0,35.0,30.1
1998-09,24.0,34.0,28.6
1998-10,21.0,33.0,26.7
1998-11,18.0,30.0,23.4
1998-12,14.0,28.0,19.0
1999-01,9.0,26.0,17.1
1999-02,12.0,28.0,18.9
1999-03,12.0,31.0,20.8
1999-04,18.0,32.0,25.0
1999-05,18.0,32.0,25.4
1999-06,25.0,35.0,29.5
1999-07,26.0,35.0,29.9
1999-08,24.0,36.0,28.9
1999-09,23.0,34.0,28.4
1999-10,20.0,33.0,26.8
1999-11,12.0,29.0,22.6
1999-12,5.0,24.0,16.5
2000-01,7.0,25.0,17.1
2000-02,8.0,25.0,16.7
2000-03,19.0,28.0,23.3
2000-04,19.0,29.0,23.2
2000-05,22.0,33.0,27.3
2000-06,22.0,34.0,28.4
2000-07,25.0,35.0,29.8
2000-08,25.0,35.0,28.6
2000-09,24.0,33.0,28.6
2000-10,19.0,33.0,26.7
2000-11,13.0,28.0,21.2
2000-12,11.0,26.0,19.0
2001-01,10.0,25.0,17.7
2001-02,10.0,27.0,17.6
2001-03,14.0,29.0,21.3
2001-04,15.0,33.0,23.4
2001-05,23.0,33.0,27.6
2001-06,24.0,35.0,28.5
2001-07,24.0,34.0,28.8
2001-08,25.0,35.0,29.9
2001-09,25.0,34.0,28.7
2001-10,21.0,33.0,26.8
2001-11,13.0,30.0,21.9
2001-12,8.0,29.0,18.0
2002-01,8.0,26.0,17.1
2002-02,9.0,26.0,18.8
2002-03,14.0,28.0,22.1
2002-04,17.0,33.0,25.6
2002-05,23.0,34.0,28.0
2002-06,24.0,35.0,29.6
2002-07,24.0,35.0,29.5
2002-08,24.0,35.0,29.3
2002-09,23.0,34.0,27.8
2002-10,18.0,31.0,25.6
2002-11,15.0,29.0,21.7
2002-12,6.0,29.0,18.2
2003-01,7.0,25.0,16.1
2003-02,12.0,27.0,19.3
2003-03,10.0,28.0,19.9
2003-04,19.0,32.0,24.9
2003-05,22.0,33.0,27.9
2003-06,24.0,34.0,28.4
2003-07,27.0,35.0,30.4
2003-08,25.0,35.0,29.6
2003-09,23.0,34.0,28.6
2003-10,20.0,32.0,26.0
2003-11,13.0,33.0,22.6
2003-12,10.0,27.0,17.7
2004-01,7.0,24.0,16.0
2004-02,7.0,26.0,17.6
2004-03,13.0,27.0,19.8
2004-04,18.0,32.0,24.1
2004-05,19.0,33.0,27.1
2004-06,25.0,36.0,29.6
2004-07,24.0,37.0,29.4
2004-08,25.0,36.0,29.5
2004-09,24.0,34.0,28.5
2004-10,20.0,32.0,25.4
2004-11,16.0,29.0,22.8
2004-12,7.0,27.0,19.0
2005-01,5.0,24.0,15.8
2005-02,8.0,26.0,16.6
2005-03,9.0,28.0,18.0
2005-04,14.0,30.0,23.5
2005-05,14.0,32.0,27.8
2005-06,19.0,34.0,28.3
2005-07,25.0,37.0,29.7
2005-08,24.0,34.0,28.9
2005-09,24.0,35.0,29.2
2005-10,20.0,34.0,27.0
2005-11,15.0,31.0,24.2
2005-12,10.0,26.0,17.5
2006-01,8.0,26.0,17.1
2006-02,10.0,26.0,18.6
2006-03,9.0,28.0,19.4
2006-04,15.0,33.0,24.9
2006-05,20.0,33.0,26.7
2006-06,23.0,35.0,28.6
2006-07,25.0,37.0,30.0
2006-08,25.0,34.0,29.3
2006-09,20.0,34.0,27.5
2006-10,23.0,32.0,27.2
2006-11,18.0,31.0,23.9
2006-12,12.0,29.0,18.6
2007-01,10.0,24.0,16.5
2007-02,11.0,26.0,20.5
2007-03,11.0,30.0,21.1
2007-04,12.0,31.0,22.5
2007-05,21.0,34.0,27.5
2007-06,23.0,35.0,29.4
2007-07,25.0,35.0,30.6
2007-08,25.0,35.0,29.1
2007-09,25.0,34.0,28.9
2007-10,21.0,33.0,26.7
2007-11,12.0,29.0,21.6
2007-12,12.0,27.0,20.0
2008-01,7.0,27.0,15.7
2008-02,7.0,21.0,13.4
2008-03,11.0,28.0,20.9
2008-04,17.0,31.0,24.0
2008-05,20.0,33.0,26.5
2008-06,24.0,34.0,27.6
2008-07,24.0,36.0,29.2
2008-08,24.0,34.0,29.0
2008-09,25.0,35.0,29.5
2008-10,23.0,32.0,27.3
2008-11,12.0,31.0,22.7
2008-12,10.0,27.0,18.8
2009-01,8.0,25.0,15.5
2009-02,15.0,29.0,21.6
2009-03,13.0,29.0,20.3
2009-04,17.0,30.0,23.1
2009-05,21.0,33.0,26.6
2009-06,24.0,34.0,29.1
2009-07,24.0,35.0,29.9
2009-08,25.0,36.0,30.2
2009-09,25.0,35.0,29.8
2009-10,23.0,33.0,27.4
2009-11,9.0,32.0,20.8
2009-12,10.0,25.0,17.8
2010-01,10.0,26.0,17.4
2010-02,7.0,29.0,18.5
2010-03,8.0,29.0,20.9
2010-04,13.0,29.0,22.1
2010-05,21.0,32.0,26.9
2010-06,21.0,34.0,28.0
2010-07,24.0,36.0,30.1
2010-08,25.0,35.0,29.7
2010-09,24.0,35.0,28.8
2010-10,16.0,34.0,25.7
2010-11,17.0,28.0,22.0
2010-12,5.0,28.0,18.5
2011-01,6.0,18.0,13.1
2011-02,8.0,28.0,16.6
2011-03,13.0,28.0,18.3
2011-04,18.0,31.0,23.7
2011-05,20.0,33.0,26.6
2011-06,24.0,36.0,29.3
2011-07,26.0,36.0,29.7
2011-08,25.0,36.0,30.5
2011-09,23.0,35.0,29.1
2011-10,21.0,31.0,25.7
2011-11,17.0,32.0,24.0
2011-12,10.0,25.0,17.4
2012-01,7.0,23.0,14.6
2012-02,9.0,27.0,16.6
2012-03,12.0,30.0,20.1
2012-04,19.0,31.0,24.9
2012-05,25.0,34.0,28.5
2012-06,26.0,34.0,29.3
2012-07,24.0,36.0,29.5
2012-08,26.0,36.0,30.3
2012-09,24.0,34.0,28.8
2012-10,18.0,31.0,26.5
2012-11,13.0,30.0,22.7
2012-12,7.0,27.0,18.2
2013-01,10.0,25.0,17.0
2013-02,11.0,27.0,19.7
2013-03,13.0,30.0,21.5
2013-04,16.0,31.0,22.6
2013-05,18.0,34.0,26.7
2013-06,23.0,36.0,29.1
2013-07,25.0,35.0,29.1
2013-08,25.0,34.0,29.5
2013-09,24.0,34.0,28.6
2013-10,19.0,32.0,26.5
2013-11,13.0,31.0,22.5
2013-12,9.0,25.0,16.2
2014-01,10.0,25.0,17.1
2014-02,6.0,26.0,15.9
2014-03,14.0,29.0,19.9
2014-04,18.0,30.0,23.9
2014-05,19.0,34.0,27.5
2014-06,25.0,36.0,30.2
2014-07,26.0,35.0,30.7
2014-08,24.0,36.0,30.0
2014-09,26.0,35.0,30.0
2014-10,23.0,35.0,27.5
2014-11,18.0,30.0,23.6
2014-12,11.0,26.0,16.7
2015-01,11.0,25.0,17.3
2015-02,11.0,28.0,18.7
2015-03,15.0,29.0,21.1
2015-04,15.0,32.0,24.2
2015-05,23.0,34.0,28.4
2015-06,25.0,36.0,30.5
2015-07,25.0,35.0,29.9
2015-08,25.0,37.0,30.1
2015-09,25.0,34.0,29.4
2015-10,19.0,33.0,26.8
2015-11,15.0,31.0,24.8
2015-12,11.0,28.0,18.8
2016-01,3.0,25.0,16.4
2016-02,8.0,28.0,15.7
2016-03,10.0,27.0,18.8
2016-04,20.0,30.0,24.9
2016-05,21.0,33.0,27.9
2016-06,25.0,36.0,30.1
2016-07,25.0,36.0,30.7
2016-08,25.0,35.0,29.3
2016-09,23.0,35.0,28.9
2016-10,21.0,32.0,27.6
2016-11,13.0,31.0,22.7
2016-12,11.0,27.0,20.4
2017-01,13.0,27.0,19.2
2017-02,10.0,26.0,17.6
2017-03,14.0,27.0,20.4
2017-04,16.0,31.0,24.0
2017-05,22.0,33.0,26.8
2017-06,25.0,35.0,29.7
2017-07,25.0,37.0,29.7
2017-08,25.0,37.0,30.2
2017-09,26.0,35.0,30.0
2017-10,20.0,35.0,27.6
